Name,Days Until Expiry
Butter,60
Buttermilk,14
Cheese,180
Coffee creamer,21
Cottage cheese,14
Cream cheese,14
Cream,30
Dips,14
Egg substitutes,7
Eggnog,5
Eggs,35
Egg dishes,4
Kefir,7
Margarine,180
Whipped cream,28
Whipped topping,90
Yogurt,14
Beef,5
Lamb,5
Veal,5
Pork,5
Goat,5
Venison,5
Variety meats,2
Bacon,7
Corned beef,7
Ham,270
Hot dogs,14
Sausage,2
Stuffed,2
raw pork chops,2
Raw kabobs with vegetables,2
Chicken,2
Turkey,2
Ground turkey or chicken,2
Chicken parts,2
Turkey parts,2
Duckling,2
Goose,2
Pheasant,2
Quail,2
Capon,2
Cornish Hens,2
Giblets,2
Stuffed,2
raw chicken breasts,2
Cooked poultry dishes,4
Fried chicken,4
Poultry pieces,4
Rotisserie chicken,4
Lean fish,2
Fatty fish,2
Caviar,28
Cooked fish,4
Scallops,3
Shrimp,3
crayfish,3
Squid,3
Shucked clams,10
mussels,10
and oysters,10
Crab meat,3
Crab legs,4
Live clams,2
mussels,2
crab,2
and oysters,2
Fresh whole lobster,1
Fresh lobster tails,3
Fresh clams,10
mussels,10
oysters,10
Cooked shellfish,4
Herring,180
Fish,45
Tofu,7
Miso,1
Soy flour,180
Re-hydrated textured soy protein,4
Leftovers,4
Commercial brand vacuum-packed dinners,14
Cooked pasta,5
Cooked rice,6
Guacamole,4
Hummus,90
Luncheon meat or poultry,5
Main dishes or meals,4
Meats,4
Olives,14
Pate,2
Soup,4
stews,4
Casseroles,4
Apples,42
Apricots,5
Avocados,4
Bananas,3
Berries,7
Blueberries,14
Cherimoya,4
Citrus fruit,21
Coconuts,21
Cranberries,60
Dates,360
Grapes,7
Guava,4
Kiwi fruit,6
Melons,14
Papaya,7
mango,7
feijoa,7
passionfruit,7
casaha melon,7
Peaches,5
nectarines,5
plums,5
pears,5
sapote,5
Pineapple,7
Plantains,5
Pomegranate,90
Artichokes,14
whole,14
Asparagus,4
Bamboo shoots,14
Beans and peas,5
Beets,14
Bok choy,3
Broccoli and broccoli raab (rapini),5
Brussels sprouts,5
Cabbage,14
Carrots,21
parsnips,21
Cauliflower,5
Celery,14
Corn on the cob,2
Cucumbers,6
Eggplant,7
Ginger root,21
Greens,4
Leeks,14
Lettuce,14
Mushrooms,7
Okra,3
Onions,60
Peppers,14
Potatoes,14
Pumpkins,150
Radishes,14
Rhubarb,7
Rutabagas,21
Squash,5
Tamarind,180
Taro,3
Turnips,14
Yuca/cassava,3
Dough,4
Frozen pretzels,4
Lobster tails,4
Sausages,4
Shrimp,4
shellfish,4
Soy crumbles and hot dogs,4
Soy meat substitutes,4
Tempeh,4
Vegetables,4
Fresh pasta,2
Dry gravy mixes,2
Horseradish,360
Pesto,180
Kumquats,21
Bagged greens,5
Egg salad,4
Potato salad,5
Seafood salads,4
Chicken salad,4
Ham salad,4
Pasta salad,5
Kale,5
Turkey bacon,14
Almonds,480
Cashews,180
Macadamias,360
Peanuts,360
Pecans,360
Pistachios,360
Walnuts,360
Roasted red peppers,180
Whole wheat flour,2
Star fruit,14
Prickly pear,14
Pitaya/dragon fruit,21
Strawberries,3
Raspberries,3
Cherries,3
Broth,4
Beef broth/stock/consommé,7
Chicken broth/stock/consommé,7
Vegetable stock/broth,7
Ricotta,14
Baby carrots,28
Jicama,21
Kimchi,360
Kohlrabi,7
Watermelon,4
Cantaloupe,15
Honeydew,4
Relish,270
Tapenade,270
Lemongrass,9
Cilantro,21
Mint,21
Oregano,21
Rosemary,21
Chives,21
Thyme,21
Turkey,14
Salami,14
Canadian bacon,14
Almond oil,2
Duck fat,30
Bacon grease,180
Frying oil,30
Apple juice,6
Carrot juice,6
String Cheese,150
Vegan Cheddar Cheese,120
Quark,10
Zucchini,7
Hot peppers,7
Bean sprouts,10
Swiss chard,14
Marinated vegetables,4
Pizza,4
Bread,90
Rabbit,2
Spaghetti squash,14
Cherry tomatoes,5
Coleslaw,5
Pumpkin seeds,180
Parsley,3
Bison,5
Cheese Curds,14
Vegetable soup,4
Chorizo,2
Bratwurst,3
Edamame,5
Ghee,2
Pine nuts,90
Coconut flour,360
Celery root,7
Apple cider,21
Yuzu juice,360
Yuzu,7
Pastrami,40
Aioli,4
Radicchio,21
Prosciutto,90
Ham,4
Arugula,7
Mung bean,42
Croutons,180
